PID, Sale_Price
908276150, 76980.915128325
903451090, 150444.702785015
527110080, 176820.98301807
535457010, 138888.313471416
903484020, 136351.01208833
905479110, 118973.666639848
527452310, 129478.814450022
528228445, 191125.886320905
923225370, 101893.171430094
528344040, 327262.613298138
532377050, 141011.321936599
535176050, 146790.798551838
906340100, 341888.687480082
533212050, 164030.149935282
909428180, 181552.134888962
535379110, 134927.507457198
534250400, 189515.433758051
527450520, 108438.709107164
527452150, 132450.13944723
903225040, 130486.225912454
911370410, 287787.793577099
905226080, 154328.29629134
914467050, 208459.852098962
908152260, 146824.558598366
534451170, 82422.8575991979
923228310, 82602.8702554696
910201180, 152295.962438165
534476100, 136858.686454125
923225080, 123038.680080947
906223210, 233138.402495447
905480150, 89683.1167170283
903452090, 120598.468225325
527208010, 375735.757885524
906426090, 179030.383550447
903231090, 138826.179386069
535152280, 148246.030362182
528458180, 221176.228056151
532354060, 125462.017688963
909279040, 110466.742651978
527353060, 246226.598765751
916176030, 158492.295993328
533110130, 278293.32913292
911370450, 270724.010766689
528118110, 328628.783658064
528228270, 197816.470413736
905480240, 94343.4553441991
914460020, 199353.725055131
534428060, 139371.708702694
534252240, 167622.075599046
908102050, 111190.146022906
914475030, 174270.713873376
533221040, 172843.791532852
535451170, 94064.4688224237
905451340, 83211.7450578961
528118040, 402814.955882211
903200080, 212462.919982017
527162110, 188540.072320216
535381040, 155775.197924792
528174020, 198290.353185656
534400290, 170289.295929682
903206070, 138079.083356125
533252130, 210895.613602359
906382030, 235561.110522591
535327200, 131197.968808798
535455080, 113466.918898069
527354160, 183408.832442837
902207120, 92920.388072344
909282060, 201543.196340664
902109140, 123625.719918817
902206270, 133552.721279014
533250050, 237071.011416627
909452050, 223293.273560697
527212060, 375473.462474365
906394060, 187428.027098329
534401120, 158966.296601344
528435010, 225005.893256311
528315080, 286253.106334409
909275030, 156259.350916426
528102010, 376163.785634832
907200290, 150367.776313941
902300260, 122030.603741696
528150110, 346262.094280468
535450100, 131907.602751393
907285010, 230969.40559578
533253210, 190896.065929272
527301280, 148074.325187091
905478140, 138297.805863572
902204080, 88458.7062366045
907201280, 133056.837393665
905476170, 92428.5633719855
923228210, 81178.5562889576
534226120, 122672.508407377
527301170, 213507.803458416
535453040, 129022.329497218
535150300, 230700.730155234
528363020, 315461.470782252
907265100, 211391.987326501
910200060, 139294.856673153
532376160, 131652.813245502
908204180, 66753.1155031772
909282130, 148005.048154657
528326110, 330123.840152646
534176230, 158009.677277017
527302210, 219321.041382727
526355170, 267029.171865024
535305180, 140780.855508135
905452150, 137783.978971139
902201090, 132883.075645663
527452190, 142253.9467934
908275280, 143543.590499191
527402210, 133261.157989101
921126010, 308729.459745167
905109130, 284613.603572943
535425070, 185937.677728265
905200290, 168779.251898197
533253060, 159803.198277774
535179050, 141130.974513396
903476100, 93045.7710981567
533135020, 242960.136664208
527403120, 97298.5339187846
528429080, 272483.511023475
528354100, 279388.04757769
902427150, 109421.593668447
527226040, 176659.546450814
924100060, 188669.175043388
531452180, 202204.599966892
907252050, 202358.177989776
903236200, 112201.421496995
910201130, 118394.896053529
909100080, 111623.914266707
535402010, 181826.533189352
528186100, 326677.517237068
905225020, 180313.141032349
905201110, 165777.774879636
527158090, 175674.996548562
528175010, 215034.143793814
902401010, 113816.95701058
534251320, 151705.3347415
902109120, 128530.332004464
528290170, 194060.919336954
534252060, 142951.351792708
905475510, 100124.232621353
527425060, 110106.63621414
534201130, 135134.126984338
526302110, 117696.23959154
903430050, 78384.8180916896
902110130, 92279.9760993262
534401110, 148382.26085583
528231020, 186523.560028556
531479020, 80411.1277573524
905403060, 118643.326578392
916326010, 234704.824670775
527365030, 232961.560014653
528228295, 208804.860084404
527455250, 123657.066154125
916403040, 180050.004662188
527252090, 319125.510484897
908225240, 108246.754636224
528228285, 167758.434147445
908178050, 240715.610543525
916326040, 171128.861392776
916380060, 270697.484552529
903204010, 130000.194535488
528144020, 213522.326384166
906204230, 243063.495169359
528168030, 287903.60366145
531369060, 193013.695423958
535451100, 104344.20058529
906380010, 196613.139237291
527450460, 113777.592836982
534277070, 115616.271239161
532353050, 130277.632044062
527105140, 197302.669193594
908102330, 115321.221702738
907135230, 152187.792907992
908250030, 71591.8748505442
902103090, 114400.834572722
528458120, 253800.407266156
535425060, 190966.706106706
527404100, 119252.765033924
905475160, 124862.627810586
902100010, 100466.947664277
534202020, 130912.83229977
533251110, 294519.665225933
528435050, 280142.782508209
914476130, 163376.883539027
924100050, 147242.10073993
909428280, 319645.869014871
906230020, 264940.310418789
923230180, 134825.252421053
907420090, 197633.792573092
534250010, 145019.084557044
532353020, 127610.050034258
906380180, 193130.847881632
531363020, 142092.082574575
906230010, 281309.306314686
923225300, 93397.5093640403
527252050, 320143.344660672
923225440, 80833.8319720849
907280090, 235349.299842542
527183030, 205202.481719001
535402220, 173623.10955982
532376250, 124251.169547056
914474020, 208784.599561951
907275090, 226119.689774766
528138030, 390914.60022692
908154195, 497636.347445708
527402240, 173205.769815149
903228150, 127840.093734559
531451020, 200665.806729412
909275250, 156084.2043004
903484080, 13299.7465991639
534202170, 153293.673612791
906225180, 203563.821800028
916460110, 196563.747256768
528174010, 198890.131699638
528228360, 200980.419084404
903233140, 125513.701872558
535153150, 162498.134657506
533212020, 161298.427427667
909428170, 244692.227993513
534129060, 213119.892540127
527163080, 159537.361210504
908275290, 128563.018347109
903201020, 123052.204574626
528431110, 286448.42154775
903454060, 69269.2891412598
903206120, 174813.068254369
527131110, 249807.838559103
906203120, 263052.353449509
908102140, 115668.148266225
527107210, 196026.33126618
923204140, 148394.503060312
527427200, 188734.073407341
528186170, 203121.389738036
906226070, 106828.800312634
527357110, 138196.335141445
534278170, 142027.846034005
534427090, 120237.625660433
905451390, 152755.195122735
534152120, 164563.161242381
535179120, 117011.797631897
528435060, 248552.719862908
534427140, 151919.587043598
903429110, 145576.540939529
535105110, 159625.960828593
528366070, 293886.774135934
534129040, 196729.804217534
535454070, 118715.657749356
903429080, 162772.706415409
906226090, 134447.871860858
534479130, 140668.798279238
527451290, 93872.2388559488
527106150, 203230.384865947
916253320, 277026.811060378
916455010, 208772.389753468
907201220, 133823.358227668
908188150, 148808.266486557
527325090, 206019.942864975
906402070, 250154.257049924
909101010, 133865.437608498
528221100, 179582.555063462
528480170, 261655.022633519
906475110, 222796.719241197
903228080, 132453.059353062
528228575, 259665.409284238
907227080, 125287.824063482
905109170, 230665.283602339
528228545, 177102.652807227
534275010, 132179.304939771
903425340, 118772.897122762
902128160, 112403.987702881
533215040, 258489.915562019
911202100, 85654.9020877594
528456230, 199983.146862814
535353160, 121013.205807812
902100030, 84888.2122264233
528174070, 196906.654316298
528445070, 233982.742461659
902105060, 122492.269942524
909101140, 140192.379933908
532354160, 129326.512425544
528138060, 208615.306183443
527107090, 185342.980835842
904100090, 174864.521864698
528458130, 319132.454651563
535477130, 150176.81556785
533223010, 176933.941532402
528108140, 413071.678293154
907202130, 155446.119064643
527131030, 263642.98834583
527453010, 158240.860392593
907280170, 213982.882342556
528172030, 306550.070915302
905480210, 111531.129117574
902402010, 142954.194495629
528228555, 183151.052999491
902404010, 139103.377712755
907253110, 227181.024141253
906204150, 265794.481869871
910201050, 127161.721915763
528174030, 192843.1389694
532476050, 242902.064899007
907265030, 230537.247548752
902109160, 108042.282860494
903231240, 93527.2977059309
902103150, 127414.289958331
528174040, 206465.207712209
916125425, 215754.676708603
531478010, 113887.582878473
916403250, 246281.651019384
923252080, 121543.76351378
534175140, 144284.086247515
902201120, 100291.390397271
534276190, 106426.125695849
906392090, 254222.959053809
916402015, 189346.719812127
905103110, 126478.752945253
907203090, 117224.688834191
903205085, 108746.326861045
528110080, 324977.670380362
903225140, 125608.640715205
903458110, 98935.4632557349
535325350, 130454.756327832
528439010, 229118.886303434
535355100, 115476.629455836
905100060, 131852.475964973
903231080, 114006.257843233
902300110, 105293.207716952
527451460, 110354.304724341
535475010, 150020.153898227
528174050, 202024.760212083
527450250, 104066.000214124
905351089, 178795.607642961
